DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2023-07-22 16:00:00,31 °C,20 °C,—,0 mm,11.2 km/h,—,1013 hPa,52 %
2023-07-22 17:00:00,31 °C,20.9 °C,—,0 mm,13 km/h,—,1013 hPa,55 %
2023-07-21 12:00:00,28.5 °C,22.3 °C,—,0.1 mm,13 km/h,—,1012.7 hPa,69 %
2023-07-21 13:00:00,29 °C,22 °C,—,0.1 mm,13 km/h,—,1013 hPa,66 %
2023-07-21 14:00:00,30 °C,23 °C,—,0 mm,9.4 km/h,—,1012 hPa,66 %
2023-07-21 15:00:00,31.5 °C,21.4 °C,—,0 mm,7.6 km/h,—,1012.7 hPa,55 %
2023-07-21 16:00:00,33 °C,22.2 °C,—,0 mm,16.6 km/h,—,1013 hPa,53 %
2023-07-21 17:00:00,32 °C,20 °C,—,0 mm,20.5 km/h,—,1013 hPa,49 %
2023-07-20 12:00:00,30.1 °C,15.4 °C,—,0 mm,9.4 km/h,—,1009.2 hPa,41 %
2023-07-20 13:00:00,31 °C,19 °C,—,0 mm,13 km/h,—,1009 hPa,49 %
2023-07-20 14:00:00,30 °C,18.1 °C,—,0 mm,13 km/h,—,1008 hPa,49 %
2023-07-20 15:00:00,29 °C,20.2 °C,—,0 mm,14.8 km/h,—,1008.4 hPa,59 %
2023-07-20 16:00:00,30 °C,21.1 °C,—,0 mm,13 km/h,—,1007 hPa,59 %
2023-07-20 17:00:00,31 °C,18 °C,—,0 mm,9.4 km/h,—,1007 hPa,46 %
2023-07-19 12:00:00,27.2 °C,19.3 °C,—,0 mm,11.2 km/h,—,1012.8 hPa,62 %
2023-07-19 13:00:00,28 °C,19 °C,—,0 mm,9.4 km/h,—,1012 hPa,58 %
2023-07-19 14:00:00,28 °C,20 °C,—,0 mm,13 km/h,—,1011 hPa,62 %
2023-07-19 15:00:00,29.2 °C,20.6 °C,—,0 mm,13 km/h,—,1011.7 hPa,60 %
2023-07-19 16:00:00,32 °C,15.9 °C,—,0 mm,24.1 km/h,—,1011 hPa,38 %
2023-07-19 17:00:00,32 °C,17.1 °C,—,0 mm,25.9 km/h,—,1011 hPa,41 %
2023-07-18 12:00:00,29.5 °C,12.4 °C,—,0 mm,27.7 km/h,—,1014.8 hPa,35 %
2023-07-18 13:00:00,30 °C,14.9 °C,—,0 mm,27.7 km/h,—,1014 hPa,40 %
