DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-10-03 18:00:00,21.5 °C,14.4 °C,—,0 mm,5 km/h,—,1015 hPa,64 %
2024-10-03 19:00:00,20 °C,15 °C,—,0 mm,7 km/h,—,1015 hPa,73 %
2024-10-03 20:00:00,20 °C,15 °C,—,0 mm,9 km/h,—,1015 hPa,73 %
2024-10-03 21:00:00,20.2 °C,15.2 °C,—,0 mm,9 km/h,—,1015.3 hPa,73 %
2024-10-03 22:00:00,19 °C,14.1 °C,—,0 mm,4 km/h,—,1015 hPa,73 %
2024-10-03 23:00:00,19 °C,15.1 °C,—,0 mm,4 km/h,—,1015 hPa,78 %
2024-10-02 18:00:00,20.3 °C,12.3 °C,—,0 mm,5 km/h,—,1014.5 hPa,60 %
2024-10-02 19:00:00,19 °C,12 °C,—,0 mm,13 km/h,—,1015 hPa,64 %
2024-10-02 20:00:00,18 °C,12 °C,—,0 mm,11 km/h,—,1015 hPa,68 %
2024-10-02 21:00:00,17.6 °C,12.3 °C,—,0 mm,11 km/h,—,1014.8 hPa,71 %
2024-10-02 22:00:00,17 °C,12.9 °C,—,0 mm,13 km/h,—,1015 hPa,77 %
2024-10-02 23:00:00,17 °C,12.9 °C,—,0 mm,11 km/h,—,1015 hPa,77 %
2024-10-01 18:00:00,17.2 °C,7 °C,—,0 mm,15 km/h,—,1011.8 hPa,51 %
2024-10-01 19:00:00,17 °C,7.1 °C,—,0 mm,11 km/h,—,1012 hPa,52 %
2024-10-01 20:00:00,18 °C,8 °C,—,0 mm,11 km/h,—,1012 hPa,52 %
2024-10-01 21:00:00,17.5 °C,7.5 °C,—,0 mm,11 km/h,—,1012.3 hPa,52 %
2024-10-01 22:00:00,18 °C,9.1 °C,—,0 mm,7 km/h,—,1013 hPa,56 %
2024-10-01 23:00:00,17 °C,8.9 °C,—,0 mm,11 km/h,—,1013 hPa,59 %
2024-09-30 18:00:00,17.6 °C,11.2 °C,—,0 mm,21 km/h,—,1012.6 hPa,66 %
2024-09-30 19:00:00,17 °C,8.9 °C,—,0 mm,22 km/h,—,1013 hPa,59 %
2024-09-30 20:00:00,17 °C,9.9 °C,—,0 mm,19 km/h,—,1013 hPa,63 %
2024-09-30 21:00:00,16.7 °C,9.4 °C,—,0 mm,18 km/h,—,1013.1 hPa,62 %
2024-09-30 22:00:00,15 °C,8.9 °C,—,0 mm,11 km/h,—,1013 hPa,67 %
2024-09-30 23:00:00,16 °C,9 °C,—,0 mm,7 km/h,—,1013 hPa,63 %
2024-09-29 18:00:00,25 °C,18.2 °C,—,0 mm,8 km/h,—,1005.6 hPa,66 %
2024-09-29 19:00:00,24 °C,18 °C,—,0 mm,11 km/h,—,1006 hPa,69 %
2024-09-29 20:00:00,22 °C,19 °C,—,0 mm,20 km/h,—,1006 hPa,83 %
2024-09-29 21:00:00,22.4 °C,19.4 °C,—,0 mm,21 km/h,—,1006.7 hPa,83 %
2024-09-29 22:00:00,20 °C,15 °C,—,0 mm,39 km/h,—,1008 hPa,73 %
