DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-09-27 05:00:00,18 °C,17 °C,—,0 mm,7 km/h,—,1015 hPa,94 %
2024-09-26 01:00:00,20 °C,13 °C,—,0 mm,11 km/h,—,1017 hPa,64 %
2024-09-26 02:00:00,19 °C,14.1 °C,—,0 mm,9 km/h,—,1017 hPa,73 %
2024-09-26 03:00:00,18.7 °C,14.2 °C,—,0 mm,9 km/h,—,1016.7 hPa,75 %
2024-09-26 04:00:00,18 °C,13.1 °C,—,0 mm,7 km/h,—,1016 hPa,73 %
2024-09-26 05:00:00,18 °C,15.1 °C,—,0 mm,4 km/h,—,1016 hPa,83 %
2024-09-25 01:00:00,20 °C,17 °C,—,0 mm,7 km/h,—,1017 hPa,83 %
2024-09-25 02:00:00,19 °C,16 °C,—,0 mm,7 km/h,—,1017 hPa,83 %
2024-09-25 03:00:00,19 °C,16 °C,—,0 mm,8 km/h,—,1016.4 hPa,83 %
2024-09-25 04:00:00,18 °C,16 °C,—,0 mm,7 km/h,—,1017 hPa,88 %
2024-09-25 05:00:00,18 °C,16 °C,—,0 mm,7 km/h,—,1017 hPa,88 %
2024-09-24 01:00:00,19 °C,14.1 °C,—,0 mm,7 km/h,—,1016 hPa,73 %
2024-09-24 02:00:00,18 °C,14.1 °C,—,0 mm,7 km/h,—,1016 hPa,78 %
2024-09-24 03:00:00,18 °C,14.3 °C,—,0 mm,8 km/h,—,1016.6 hPa,79 %
2024-09-24 04:00:00,17 °C,15 °C,—,0 mm,4 km/h,—,1016 hPa,88 %
2024-09-24 05:00:00,17 °C,15 °C,—,0 mm,6 km/h,—,1016 hPa,88 %
2024-09-23 01:00:00,19 °C,15.1 °C,—,0 mm,11 km/h,—,1015 hPa,78 %
2024-09-23 02:00:00,19 °C,16 °C,—,0 mm,4 km/h,—,1015 hPa,83 %
2024-09-23 03:00:00,18.5 °C,16.1 °C,—,0 mm,5 km/h,—,1015 hPa,86 %
2024-09-23 04:00:00,18 °C,16 °C,—,0 mm,9 km/h,—,1014 hPa,88 %
2024-09-23 05:00:00,18 °C,17 °C,—,0 mm,7 km/h,—,1015 hPa,94 %
2024-09-22 01:00:00,21 °C,11.9 °C,—,0 mm,11 km/h,—,1017 hPa,56 %
2024-09-22 02:00:00,20 °C,11 °C,—,0 mm,15 km/h,—,1016 hPa,56 %
2024-09-22 03:00:00,20.4 °C,11.3 °C,—,0 mm,15 km/h,—,1016.3 hPa,56 %
2024-09-22 04:00:00,20 °C,11 °C,—,0 mm,15 km/h,—,1016 hPa,56 %
2024-09-22 05:00:00,20.2 °C,11.1 °C,—,0 mm,15 km/h,—,1016.1 hPa,56 %
2024-09-21 01:00:00,20 °C,16 °C,—,0 mm,13 km/h,—,1016 hPa,78 %
2024-09-21 02:00:00,19 °C,15.1 °C,—,0 mm,26 km/h,—,1016 hPa,78 %
2024-09-21 03:00:00,18.7 °C,15 °C,—,0 mm,26 km/h,—,1016.5 hPa,79 %
2024-09-21 04:00:00,17 °C,16 °C,—,0 mm,11 km/h,—,1016 hPa,94 %
2024-09-21 05:00:00,18 °C,16 °C,—,0 mm,22 km/h,—,1016 hPa,88 %
2024-09-20 01:00:00,20 °C,15 °C,—,0 mm,9 km/h,—,1015 hPa,73 %
